Project Name,Project Link,Package Path,Function Name,Line No,Link,Role,Type
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/mockito/CoapUdpStackTest.java,verify,105,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/mockito/CoapUdpStackTest.java,verify,74,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/mockito/CoapUdpStackTest.java,verify,89,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/mockito/Stubbing/CoapStackTest.java,when,91,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Stub,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/eclipse/californium/elements/TcpMatcherTest.java,getEndpointIdentity,79,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/eclipse/californium/elements/TcpMatcherTest.java,isResponseRelatedToRequest,101,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/eclipse/californium/elements/TcpMatcherTest.java,isResponseRelatedToRequest,84,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/eclipse/californium/core/server/resources/ServerMessageDelivererTest.java,getChild,72,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,java/util/ManagedServerTest.java,add,85,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/mockito/ManagedServerTest.java,verify,129,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/osgi/framework/ManagedServerTest.java,getService,142,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/mockito/ManagedServerTest.java,verify,147,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/mockito/ManagedServerTest.java,verify,182,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/eclipse/californium/core/server/ManagedServerTest.java,addEndpoint,182,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/mockito/ManagedServerTest.java,verify,193,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/osgi/framework/ManagedServerTest.java,getService,155,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/mockito/ManagedServerTest.java,verify,159,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/mockito/ManagedServerTest.java,verify,169,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,org/eclipse/californium/core/server/ManagedServerTest.java,addEndpoint,169,https://github.com/eclipse-californium/californium/blob/f1a07ef9abed5d47f2784a51a524316b51e04c7b,Mock,NetWork Communication
eclipse-californium/californium,https://github.com/eclipse-californium/californium,javax/jms/MockBusService.java,createConsumer,73,https://github.com/freedomotic/freedomotic/blob/c73ef31e06b56d731018d5e2d5496dea0ccb2d3b,Mock,NetWork Communication
freedomotic/freedomotic,https://github.com/freedomotic/freedomotic,org/mockito/Stubbing/MockBusService.java,thenReturn,73,https://github.com/freedomotic/freedomotic/blob/c73ef31e06b56d731018d5e2d5496dea0ccb2d3b,Stub,NetWork Communication
freedomotic/freedomotic,https://github.com/freedomotic/freedomotic,javax/jms/BusMessagesListener.java,createQueue,126,https://github.com/freedomotic/freedomotic/blob/c73ef31e06b56d731018d5e2d5496dea0ccb2d3b,Mock,NetWork Communication
freedomotic/freedomotic,https://github.com/freedomotic/freedomotic,org/mockserver/model/HttpHelperTest.java,withMethod,118,https://github.com/freedomotic/freedomotic/blob/c73ef31e06b56d731018d5e2d5496dea0ccb2d3b,Mock,NetWork Communication
freedomotic/freedomotic,https://github.com/freedomotic/freedomotic,org/mockserver/client/server/HttpHelperTest.java,when,116,https://github.com/freedomotic/freedomotic/blob/c73ef31e06b56d731018d5e2d5496dea0ccb2d3b,Stub,NetWork Communication
freedomotic/freedomotic,https://github.com/freedomotic/freedomotic,org/mockserver/model/HttpHelperTest.java,withStatusCode,123,https://github.com/freedomotic/freedomotic/blob/c73ef31e06b56d731018d5e2d5496dea0ccb2d3b,Mock,NetWork Communication
freedomotic/freedomotic,https://github.com/freedomotic/freedomotic,org/mockserver/client/server/HttpHelperTest.java,respond,121,https://github.com/freedomotic/freedomotic/blob/c73ef31e06b56d731018d5e2d5496dea0ccb2d3b,Mock,NetWork Communication
freedomotic/freedomotic,https://github.com/freedomotic/freedomotic,org/mockserver/model/HttpHelperTest.java,withMethod,91,https://github.com/freedomotic/freedomotic/blob/c73ef31e06b56d731018d5e2d5496dea0ccb2d3b,Mock,NetWork Communication
freedomotic/freedomotic,https://github.com/freedomotic/freedomotic,org/mockserver/model/HttpHelperTest.java,withHeader,92,https://github.com/freedomotic/freedomotic/blob/c73ef31e06b56d731018d5e2d5496dea0ccb2d3b,Mock,NetWork Communication
freedomotic/freedomotic,https://github.com/freedomotic/freedomotic,org/mockserver/client/server/HttpHelperTest.java,when,89,https://github.com/freedomotic/freedomotic/blob/c73ef31e06b56d731018d5e2d5496dea0ccb2d3b,Stub,NetWork Communication
freedomotic/freedomotic,https://github.com/freedomotic/freedomotic,org/mockserver/model/HttpHelperTest.java,withStatusCode,97,https://github.com/freedomotic/freedomotic/blob/c73ef31e06b56d731018d5e2d5496dea0ccb2d3b,Mock,NetWork Communication
freedomotic/freedomotic,https://github.com/freedomotic/freedomotic,org/mockserver/client/server/HttpHelperTest.java,respond,95,https://github.com/freedomotic/freedomotic/blob/c73ef31e06b56d731018d5e2d5496dea0ccb2d3b,Mock,NetWork Communication
freedomotic/freedomotic,https://github.com/freedomotic/freedomotic,org/mockserver/model/HttpHelperTest.java,withMethod,105,https://github.com/freedomotic/freedomotic/blob/c73ef31e06b56d731018d5e2d5496dea0ccb2d3b,Mock,NetWork Communication
freedomotic/freedomotic,https://github.com/freedomotic/freedomotic,org/mockserver/model/HttpHelperTest.java,withStatusCode,110,https://github.com/freedomotic/freedomotic/blob/c73ef31e06b56d731018d5e2d5496dea0ccb2d3b,Mock,NetWork Communication
freedomotic/freedomotic,https://github.com/freedomotic/freedomotic,org/mockserver/model/HttpHelperTest.java,withHeader,111,https://github.com/freedomotic/freedomotic/blob/c73ef31e06b56d731018d5e2d5496dea0ccb2d3b,Mock,NetWork Communication
freedomotic/freedomotic,https://github.com/freedomotic/freedomotic,org/mockserver/client/server/HttpHelperTest.java,respond,108,https://github.com/freedomotic/freedomotic/blob/c73ef31e06b56d731018d5e2d5496dea0ccb2d3b,Mock,NetWork Communication
freedomotic/freedomotic,https://github.com/freedomotic/freedomotic,org/mockserver/model/HttpHelperTest.java,withBody,77,https://github.com/freedomotic/freedomotic/blob/c73ef31e06b56d731018d5e2d5496dea0ccb2d3b,Mock,NetWork Communication
freedomotic/freedomotic,https://github.com/freedomotic/freedomotic,org/mockserver/client/server/HttpHelperTest.java,when,77,https://github.com/freedomotic/freedomotic/blob/c73ef31e06b56d731018d5e2d5496dea0ccb2d3b,Stub,NetWork Communication
